"Honourific","Name","Zodiac","Birthday","Riding","Party","Source"
"","Hilton MacLennan","","","Tyne Valley - Sherbrooke","PC",""
"Hon.","Jill Burridge","","","Stratford - Keppoch","PC",""
"Hon.","Jenn Redmond","","","Mermaid - Stratford","PC",""
"","Susie Dillon","","","Charlottetown - Belvedere","PC",""
"","Zack Bell","Pisces","February 28","Charlottetown - Winsloe","PC","https://twitter.com/PEIPCParty/status/1366031108228452355"
"","Karla Bernard","Virgo","","Charlottetown - Victoria Park","Green","https://twitter.com/karlabernardmla/status/1443182036429254663"
"Hon.","Peter Bevan-Baker","Gemini","June 3","New Haven - Rocky Point","Green","Wikipedia"
"Hon.","Darlene Compton","Aquarius","January 21","Belfast - Murray River","PC","Wikipedia"
"Hon.","Cory Deagle","Cancer","June 27","Montague - Kilmuir","PC","https://twitter.com/PEIPCParty/status/1409124293129166852"
"","Jamie Fox","Gemini","June 11","Borden - Kinkora","PC","Wikipedia"
"Hon.","Gilles Arsenault","","","Evangeline - Miscouche","PC",""
"Hon.","Rob Lantz","","","Charlottetown - Brighton","",""
"","Robert Henderson","Cancer","July 21","O'Leary - Inverness","Liberal","Wikipedia"
"Hon.","Barb Ramsay","","","Summerside - South Drive","PC",""
"Hon.","Ernie Hudson","Scorpio","November 6","Alberton - Bloomfield","PC","https://twitter.com/PEIPCParty/status/1324696355776942081"
"Hon.","Natalie Jameson","Libra","October 23","Charlottetown - Hillsborough Park","PC","https://twitter.com/PEIPCParty/status/1319579508207386624"
"Hon.","Dennis King","Scorpio","November 1","Brackley - Hunter River","PC","Wikipedia"
"","Robin Croucher","","","Souris - Elmira","PC",""
"","Tyler DesRoches","","","Summerside - Wilmot","PC",""
"","Sidney MacEwen","Scorpio","November 18","Morell - Donagh","PC","Wikipedia"
"","Matt MacKay","Leo","August 5","Kensington - Malpeque","PC","https://twitter.com/PEIPCParty/status/1291075863694508033"
"","Gordon McNeilly","Libra","","Charlottetown - West Royalty","Liberal","https://twitter.com/GordMcNeillyPEI/status/1443364529790984193"
"Hon.","Steven Myers","Sagittarius","December 8","Georgetown - Pownal","PC","Wikipedia"
"","Hal Perry","Scorpio","November 18","Tignish - Palmer Road","Liberal","Wikipedia"
"Hon.","Bloyce Thompson","Pisces","March 17","Stanhope - Marshfield","PC","https://twitter.com/PEIPCParty/status/1372139069321445378"
"","Brad Trivers","Capricorn","December 22","Rustico - Emerald","PC","Wikipedia"
"Hon.","Mark McLane","","","Cornwall - Meadowbank","PC",""
