"Honourific","Name","Zodiac","Birthday","Riding","Party","Source"
"","George Coles","Virgo","","","Liberal",""
"","John Holl","Leo","","","PC",""
"","Edward Palmer","Virgo","","","PC",""
"","John Hamilton Gray","Gemini","","","PC",""
"","J.C. Pope","Gemini","","","PC",""
"","Joseph Hensley","Gemini","","","Liberal",""
"","Robert Poore Haythorne","Sagittarius","","","Liberal",""
"","Lemuel Cambridge Owen","Scorpio","","","PC",""
"Sir","Louis Henry Davies","Taurus","","","Liberal",""
"","William Wilfred Sullivan","Sagittarius","","","PC",""
"","Neil McLeod","Sagittarius","","","PC",""
"","Frederick Peters","Aries","","","Liberal",""
"","Alexander B. Warburton","Aries","","","Liberal",""
"","Donald Farquharson","Leo","","","Liberal",""
"","Arthur Peters","Virgo","","","Liberal",""
"","Francis Longworth Haszard","Scorpio","","","Liberal",""
"","H. James Palmer","Virgo","","","Liberal",""
"","John A. Mathieson","Taurus","","","PC",""
"","Aubin-Edmond Arsenault","Leo","","","PC",""
"","John Howatt Bell","Sagittarius","","","Liberal",""
"","James D. Stewart","Capricorn","","","PC",""
"","Albert C. Saunders","Libra","","","Liberal",""
"","Walter Lea","Aquarius","","","Liberal",""
"Dr.","William J. P. MacMillan","Aries","","","PC",""
"","Thane A. Campbell","Cancer","","","Liberal",""
"","J. Walter Jones","Aries","","","Liberal",""
"","Alexander W. Matheson","Gemini","","","Liberal",""
"","Walter R. Shaw","Sagittarius","","","PC",""
"","Alexander B. Campbell ","Sagittarius","","","Liberal",""
"","Bennett Campbell","Virgo","","","Liberal",""
"","Angus MacLean","Taurus","","","PC",""
"","James Lee","Aries","","","PC",""
"","Joe Ghiz","Aquarius","","","Liberal",""
"","Catherine Callbeck","Leo","","","Liberal",""
"","Keith Milligan","Aquarius","","","Liberal",""
"","Pat Binns","Libra","","","PC",""
"","Robert Ghiz","Aquarius","","","Liberal",""
"","Wade MacLauchlan","Sagittarius","","","Liberal",""
"","Dennis King","Scorpio","","","PC",""
